Iteration,InsertTime(ms),DeleteTime(ms),Memory(MB),Gen0,Gen1,Gen2
0,0.7475,,4.28,0,0,0
1,0.2239,,5.85,0,0,0
2,0.7161,,10.01,1,1,1
3,0.506,,12.48,1,1,1
4,0.0219,,16.68,1,1,1
5,0.0082,,19.82,1,1,1
6,0.0031,,21.39,1,1,1
7,0.0001,,21.39,1,1,1
8,0.0054,,22.97,1,1,1
9,0.0051,,24.54,1,1,1
10,0.0042,,26.11,1,1,1
11,0.0037,,27.68,1,1,1
12,0.0047,,29.26,1,1,1
13,0.0099,,32.40,1,1,1
14,0.0326,,36.59,1,1,1
15,0.0074,,40.79,1,1,1
16,0.0056,,43.93,1,1,1
17,0.0077,,48.12,1,1,1
18,0.006,,51.26,1,1,1
19,0.0033,,52.83,1,1,1
20,0.0043,,54.41,1,1,1
21,0.006,,57.55,1,1,1
22,0.7679,,59.09,2,2,2
23,0.0092,,62.23,2,2,2
24,0.0058,,63.80,2,2,2
25,0.0055,,66.94,2,2,2
26,0.0133,,68.51,2,2,2
27,0.0051,,70.09,2,2,2
28,0.0042,,71.66,2,2,2
29,0.0031,,73.23,2,2,2
30,0.0041,,74.80,2,2,2
31,0.0066,,77.94,2,2,2
32,0.0031,,79.52,2,2,2
33,0.0041,,81.09,2,2,2
34,0.0065,,85.29,2,2,2
35,0.0002,,85.29,2,2,2
36,0.0047,,86.86,2,2,2
37,0.0071,,91.05,2,2,2
38,0.0047,,92.63,2,2,2
39,0.0033,,94.20,2,2,2
40,0.0094,,97.34,2,2,2
41,0.0249,,101.54,2,2,2
42,0.0075,,104.68,2,2,2
43,0.0057,,107.82,2,2,2
44,0.0059,,110.96,2,2,2
45,0.0069,,114.10,2,2,2
46,0.0057,,117.24,2,2,2
47,0.0073,,120.38,2,2,2
48,0.0053,,121.95,2,2,2
49,0.0002,0.2705,121.96,2,2,2
50,0.0148,0.0005,125.10,2,2,2
51,0.0076,0.0006,126.67,2,2,2
52,0.0001,0.0004,126.67,2,2,2
53,0.0114,0.0006,130.87,2,2,2
54,0.0235,0.0006,135.06,2,2,2
55,0.0003,0.0003,135.06,2,2,2
56,0.0091,0.0004,136.63,2,2,2
57,0.0083,0.0003,138.21,2,2,2
58,0.0087,0.0005,141.35,2,2,2
59,0.0078,0.0003,145.54,2,2,2
60,0.0052,0.0003,147.11,2,2,2
61,0.003,0.0003,148.69,2,2,2
62,0.0075,0.0005,152.88,2,2,2
63,0.0075,0.0002,157.08,2,2,2
64,0.0053,0.0002,158.65,2,2,2
65,0.0084,0.0002,162.84,2,2,2
66,0.0066,0.0003,165.98,2,2,2
67,0.0033,0.0002,167.55,2,2,2
68,0.0156,0.0002,170.69,2,2,2
69,0.0076,0.0003,174.89,2,2,2
70,0.0053,0.0002,176.46,2,2,2
